batch_size,chromosomeID,cross_prob,dnn_kl_weight,dnn_log_var_prior,dnn_weight,fitness,generationID,hostname,info,isTrained,kl_anneal,log_dir,model_dir,mutate_prob,num_conv_layers,num_dnn_layers,num_epochs,num_generations,num_vae_layers,optimizer,patience,population_size,prediction_log_var_prior,predictor_type,run_name,size_dnn_hidden,size_filter,size_kernel,size_pool,size_vae_hidden,size_vae_latent,table_dir,time_stamp,train_file,vae_kl_weight,vae_weight,w_kl_anneal
128,66,0.7,6.35,0.0,1.0,15.2298,3,172.16.50.163,Descendant of 7,2,0,../data/logs,../data/models,0.05,2,2,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,15,64,0,[],334,486,../data/tables,1564554067,MNIST,1390000.0,30.53,0
128,67,0.7,6.35,0.0,1.0,17.0602,3,172.16.50.177,Child of 83 and 99,2,0,../data/logs,../data/models,0.05,1,1,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,199,46,2,[],385,441,../data/tables,1564554399,MNIST,1390000.0,30.53,0
128,68,0.7,6.35,0.0,1.0,16.1934,3,172.16.50.163,Descendant of 92 [Mutated],2,0,../data/logs,../data/models,0.05,2,1,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,15,64,2,[],341,441,../data/tables,1564554762,MNIST,1390000.0,30.53,0
128,69,0.7,6.35,0.0,1.0,14.7958,3,172.16.50.177,Descendant of 79,2,0,../data/logs,../data/models,0.05,1,2,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,253,31,3,[],381,62,../data/tables,1564554911,MNIST,1390000.0,30.53,0
128,70,0.7,6.35,0.0,1.0,15.6278,3,172.16.50.181,Child of 93 and 88 [Mutated],2,0,../data/logs,../data/models,0.05,1,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,361,35,5,[],258,295,../data/tables,1564554992,MNIST,1390000.0,30.53,0
128,71,0.7,6.35,0.0,1.0,15.407,3,172.16.50.177,Descendant of 23,2,0,../data/logs,../data/models,0.05,1,2,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,189,69,0,[],321,380,../data/tables,1564555294,MNIST,1390000.0,30.53,0
128,72,0.7,6.35,0.0,1.0,19.1821,3,172.16.50.181,Child of 56 and 81,2,0,../data/logs,../data/models,0.05,2,2,25,50,1,adam,10,100,0.0,0,deleteme_1564421797,371,46,5,[],216,484,../data/tables,1564555427,MNIST,1390000.0,30.53,0
128,73,0.7,6.35,0.0,1.0,19.0889,3,172.16.50.163,Child of 18 and 69 [Mutated],2,0,../data/logs,../data/models,0.05,2,3,25,50,2,adam,10,100,0.0,0,deleteme_1564421797,336,46,5,[],216,354,../data/tables,1564555548,MNIST,1390000.0,30.53,0
128,74,0.7,6.35,0.0,1.0,14.7115,3,172.16.50.177,Child of 53 and 31,2,0,../data/logs,../data/models,0.05,2,1,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,334,58,1,[],58,26,../data/tables,1564555947,MNIST,1390000.0,30.53,0
128,75,0.7,6.35,0.0,1.0,16.9289,3,172.16.50.181,Descendant of 29 [Mutated],2,0,../data/logs,../data/models,0.05,2,1,25,50,3,adam,10,100,0.0,0,deleteme_1564421797,457,98,2,[],385,441,../data/tables,1564556244,MNIST,1390000.0,30.53,0
